Player,Position,Fee
Petr Cech,Goalkeeper,€14.00m
Mohamed Elneny,Defensive Midfield,€12.50m
Chuba Akpom,Centre-Forward,-
Matt Macey,Goalkeeper,-
Alex Iwobi,Left Winger,-
Carl Jenkinson,Right-Back,"End of loanJan 31, 2016"
Lukas Podolski,Centre-Forward,"End of loanJun 30, 2015"
Joel Campbell,Right Winger,"End of loanJun 30, 2015"
Serge Gnabry,Left Winger,"End of loanFeb 1, 2016"
Wellington Silva,Right Winger,"End of loanMay 31, 2016"
Yaya Sanogo,Centre-Forward,"End of loanMay 31, 2016"
Emiliano Martínez,Goalkeeper,"End of loanMay 31, 2016"
Yaya Sanogo,Centre-Forward,"End of loanJan 31, 2016"
Ryo Miyaichi,Right Winger,"End of loanJun 30, 2015"
Chuba Akpom,Centre-Forward,"End of loanMay 31, 2016"
